MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
40.79, 23.21, -3.17943e-07, 17.58
48.94, 23.32, -1.98026e-06, 25.62
43.02, 41.5, -6.18392e-07, 1.52
28.38, 17.61, 1.14147e-06, 10.77
22.9, 13.75, -1.83519e-06, 9.15

Day7
21.36, 18.64, -2.15118e-07, 2.72
19.99, 15.77, 1.42992e-08, 4.22
19.71, 12.33, 3.0588e-07, 7.38
19.81, 16.11, -8.18325e-09, 3.7
22.16, 20.2, -1.69071e-08, 1.96
22.82, 19.32, -1.64321e-08, 3.5
29.91, 30.9, 1.65496e-07, -0.99
38.68, 25.89, -1.99822e-08, 12.79
37.66, 24.89, -1.1879e-07, 12.77
39.63, 25.51, -2.88666e-07, 14.12
39.95, 20.21, 1.10779e-08, 19.74
34.59, 16.18, -1.80866e-07, 18.41
30.52, 20.8, 2.50949e-07, 9.72
30.08, 25.52, 1.30149e-07, 4.56
28.45, 38.1, 2.69053e-07, -9.65
28.29, 48.97, -8.82028e-08, -20.68
25.94, 51.18, -4.63576e-08, -25.24
27.55, 44.56, -2.34318e-07, -17.01
26.67, 26.9, 8.91038e-08, -0.23
28.3, 36.34, -4.86768e-08, -8.04
33.97, 25.47, -3.03176e-07, 8.5
28.65, 29.67, -9.46753e-08, -1.02
22.9, 22.33, 1.74758e-07, 0.57
21.43, 20.29, -2.80966e-07, 1.14

Day8
17.81, 15.78, -2.55117e-10, 2.03
16.57, 17.92, 1.69579e-11, -1.35
16.56, 17.48, 3.62755e-10, -0.92
16.47, 16.82, -9.70482e-12, -0.35
18.38, 18.64, -2.00508e-11, -0.26
22.52, 19.92, -1.94874e-11, 2.6
35, 22.96, 1.96268e-10, 12.04
43.86, 29.07, -2.36976e-11, 14.79
45.46, 27.43, -1.40878e-10, 18.03
47.09, 28.55, -3.4234e-10, 18.54
47.74, 32.15, 1.31377e-11, 15.59
50.57, 33.78, -2.14496e-10, 16.79
51.25, 52.86, 2.9761e-10, -1.61
56.89, 37.54, 1.54349e-10, 19.35
57.71, 65.48, 3.1908e-10, -7.77
55.88, 60.66, -1.04603e-10, -4.78
54, 91.37, -5.49772e-11, -37.37
50, 38.1, -2.77887e-10, 11.9
46.8, 41.54, 1.05672e-10, 5.26
46, 51, -5.77277e-11, -5
52.24, 84.49, -3.59548e-10, -32.25
44.09, 38.02, -1.12279e-10, 6.07
30.23, 70.36, 2.07252e-10, -40.13
23.01, 34.93, -3.33209e-10, -11.92

Day9
17.22, 76.38, -3.09e-11, -59.16
15.94, 25.37, 2.05396e-12, -9.43
15.22, 23.75, 4.39371e-11, -8.53
16.02, 24.07, -1.17546e-12, -8.05
18.41, 26.34, -2.42857e-12, -7.93
22.16, 29.11, -2.36033e-12, -6.95
34.45, 27.45, 2.37721e-11, 7
34.29, 34.01, -2.87027e-12, 0.28
38.28, 39.58, -1.70632e-11, -1.3
42.46, 43, -4.14644e-11, -0.54
41.03, 41.75, 1.59124e-12, -0.72
51.7, 59.34, -2.59799e-11, -7.64
52.99, 44.08, 3.60467e-11, 8.91
57.08, 43.85, 1.86949e-11, 13.23
59.65, 67.29, 3.86472e-11, -7.64
55.15, 82.6, -1.26696e-11, -27.45
48.79, 50.27, -6.65888e-12, -1.48
46.19, 37.17, -3.36579e-11, 9.02
41.18, 33.13, 1.2799e-11, 8.05
